#,Thermostat,identifier,5.12E+11,,,,,,,,,,,,,,,,,
#,Thermostat,name,Thermostat,,,,,,,,,,,,,,,,,
#,Start,date,2018-11-12,,,,,,,,,,,,,,,,,
#,End,date,2018-12-12,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Upstairs (F),Upstairs2
2018-11-12,0:00:00,heat,heatOff,,Sleep,72,68,69.5,45,34.9,0,0,0,0,,70.6,45,0,67.6,0
2018-11-12,0:05:00,heat,heatOff,,Sleep,72,68,69.3,45,34.9,0,0,0,0,,70.5,45,0,67.4,1
2018-11-12,0:10:00,heat,heatOff,,Sleep,72,68,69.1,44,34.9,0,0,0,0,,70.4,44,0,67.4,1
2018-11-12,0:15:00,heat,heatOff,,Sleep,72,68,68.8,45,34.9,0,0,0,0,,70.3,45,0,67.3,1
2018-11-12,0:20:00,heat,heatOff,,Sleep,72,68,68.5,44,34.9,0,0,0,0,,70.2,44,0,67.2,0
2018-11-12,0:25:00,heat,heatOff,,Sleep,72,68,68.4,44,34.9,0,0,0,0,,70.1,44,0,67.2,1
2018-11-12,0:30:00,heat,heatOff,,Sleep,72,68,68.1,44,34.5,0,0,0,0,,70,44,0,67.2,1
2018-11-12,0:35:00,heat,heatOff,,Sleep,72,68,67.9,45,34.5,0,0,0,0,,69.9,45,0,67.1,1
2018-11-12,0:40:00,heat,heatOff,,Sleep,72,68,67.6,45,34.5,0,0,105,105,,69.9,45,0,67.1,1
2018-11-12,0:45:00,heat,heatStage1On,,Sleep,72,68,67.3,45,34.5,0,0,255,300,,69.5,45,0,67.2,0
2018-11-12,0:50:00,heat,heatOff,,Sleep,72,68,68,46,34.5,0,0,0,0,,68.7,46,0,68,0
2018-11-12,0:55:00,heat,heatOff,,Sleep,72,68,69.3,45,34.5,0,0,0,0,,68.6,45,0,69.3,0
2018-11-12,1:00:00,heat,heatOff,,Sleep,72,68,68.8,46,34,0,0,0,0,,68.7,46,0,68.8,0
2018-11-12,1:05:00,heat,heatOff,,Sleep,72,68,68.2,45,34,0,0,0,0,,68.9,45,0,68.2,0
2018-11-12,1:10:00,heat,heatOff,,Sleep,72,68,67.9,45,34,0,0,0,0,,69.1,45,0,67.9,0
2018-11-12,1:15:00,heat,heatOff,,Sleep,72,68,67.8,45,34,0,0,0,0,,69.1,45,0,67.7,1
2018-11-12,1:20:00,heat,heatOff,,Sleep,72,68,67.6,45,34,0,0,0,0,,69.2,45,0,67.6,1
2018-11-12,1:25:00,heat,heatOff,,Sleep,72,68,67.5,44,34,0,0,30,30,,69.2,44,0,67.5,1
2018-11-12,1:30:00,heat,heatStage1On,,Sleep,72,68,67.4,44,33.4,0,0,285,300,,69,44,0,67.4,1
2018-11-12,1:35:00,heat,heatOff,,Sleep,72,68,68.2,45,33.4,0,0,0,30,,68.2,45,0,68.2,0
2018-11-12,1:40:00,heat,heatOff,,Sleep,72,68,69.2,46,33.4,0,0,0,0,,68.1,46,0,69.2,0
2018-11-12,1:45:00,heat,heatOff,,Sleep,72,68,68.8,46,33.4,0,0,0,0,,68.3,46,0,68.8,0
2018-11-12,1:50:00,heat,heatOff,,Sleep,72,68,68.3,45,33.4,0,0,0,0,,68.6,45,0,68.3,1
2018-11-12,1:55:00,heat,heatOff,,Sleep,72,68,68,45,33.4,0,0,0,0,,68.8,45,0,68,1
2018-11-12,2:00:00,heat,heatOff,,Sleep,72,68,67.8,44,32,0,0,0,0,,68.8,44,0,67.8,0
2018-11-12,2:05:00,heat,heatOff,,Sleep,72,68,67.6,44,32,0,0,0,0,,68.9,44,0,67.6,0
2018-11-12,2:10:00,heat,heatOff,,Sleep,72,68,67.5,44,32,0,0,120,120,,68.9,44,0,67.5,0
2018-11-12,2:15:00,heat,heatStage1On,,Sleep,72,68,67.5,44,32,0,0,195,240,,68.5,44,0,67.5,0
2018-11-12,2:20:00,heat,heatOff,,Sleep,72,68,68.5,45,32,0,0,0,0,,67.8,45,0,68.5,0
2018-11-12,2:25:00,heat,heatOff,,Sleep,72,68,69.2,45,32,0,0,0,0,,67.8,45,0,69.2,1
2018-11-12,2:30:00,heat,heatOff,,Sleep,72,68,68.7,45,31.6,0,0,0,0,,68.1,45,0,68.7,1
2018-11-12,2:35:00,heat,heatOff,,Sleep,72,68,68.3,44,31.6,0,0,0,0,,68.3,44,0,68.3,1
2018-11-12,2:40:00,heat,heatOff,,Sleep,72,68,68,44,31.6,0,0,0,0,,68.4,44,0,68,0
2018-11-12,2:45:00,heat,heatOff,,Sleep,72,68,67.9,44,31.6,0,0,0,0,,68.5,44,0,67.9,1
2018-11-12,2:50:00,heat,heatOff,,Sleep,72,68,67.6,44,31.6,0,0,0,0,,68.6,44,0,67.6,1
2018-11-12,2:55:00,heat,heatOff,,Sleep,72,68,67.4,44,31.6,0,0,165,165,,68.7,44,0,67.4,0
2018-11-12,3:00:00,heat,heatStage1On,,Sleep,72,68,67.7,44,31.6,0,0,135,180,,68.2,44,0,67.7,0
2018-11-12,3:05:00,heat,heatOff,,Sleep,72,68,68.7,44,31.6,0,0,0,0,,67.7,44,0,68.7,0
2018-11-12,3:10:00,heat,heatOff,,Sleep,72,68,69,45,31.6,0,0,0,0,,67.7,45,0,69,0
2018-11-12,3:15:00,heat,heatOff,,Sleep,72,68,68.5,44,31.6,0,0,0,0,,67.9,44,0,68.5,0
2018-11-12,3:20:00,heat,heatOff,,Sleep,72,68,68,44,31.6,0,0,0,0,,68.1,44,0,68,0
2018-11-12,3:25:00,heat,heatOff,,Sleep,72,68,67.8,44,31.6,0,0,0,0,,68.2,44,0,67.8,0
2018-11-12,3:30:00,heat,heatOff,,Sleep,72,68,67.7,44,31.1,0,0,0,0,,68.3,44,0,67.6,1
2018-11-12,3:35:00,heat,heatOff,,Sleep,72,68,67.4,44,31.1,0,0,270,270,,68.2,44,0,67.4,1
