#,Thermostat,identifier,511893837731,,,,,,,,,,,,,,,,,,
#,Thermostat,name,Thermostat,,,,,,,,,,,,,,,,,,
#,Start,date,2018-11-12,,,,,,,,,,,,,,,,,,
#,End,date,2018-12-12,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Time,System Setting,System Mode,Calendar Event,Program Mode,Cool Set Temp (F),Heat Set Temp (F),Current Temp (F),Current Humidity (%RH),Outdoor Temp (F),Wind Speed (km/h),Cool Stage 1 (sec),Heat Stage 1 (sec),Fan (sec),DM Offset,Thermostat Temperature (F),Thermostat Humidity (%RH),Thermostat Motion,Upstairs (F),Upstairs2,
2018-11-12,00:00:00,heat,heatOff,,Sleep,72,68,69.5,45,34.9,0,0,0,0,,70.6,45,0,67.6,0,
2018-11-12,00:05:00,heat,heatOff,,Sleep,72,68,69.3,45,34.9,0,0,0,0,,70.5,45,0,67.4,1,
2018-11-12,00:10:00,heat,heatOff,,Sleep,72,68,69.1,44,34.9,0,0,0,0,,70.4,44,0,67.4,1,
2018-11-12,00:15:00,heat,heatOff,,Sleep,72,68,68.8,45,34.9,0,0,0,0,,70.3,45,0,67.3,1,
2018-11-12,00:20:00,heat,heatOff,,Sleep,72,68,68.5,44,34.9,0,0,0,0,,70.2,44,0,67.2,0,
2018-11-12,00:25:00,heat,heatOff,,Sleep,72,68,68.4,44,34.9,0,0,0,0,,70.1,44,0,67.2,1,
2018-11-12,00:30:00,heat,heatOff,,Sleep,72,68,68.1,44,34.5,0,0,0,0,,70,44,0,67.2,1,
2018-11-12,00:35:00,heat,heatOff,,Sleep,72,68,67.9,45,34.5,0,0,0,0,,69.9,45,0,67.1,1,
2018-11-12,00:40:00,heat,heatOff,,Sleep,72,68,67.6,45,34.5,0,0,105,105,,69.9,45,0,67.1,1,
2018-11-12,00:45:00,heat,heatStage1On,,Sleep,72,68,67.3,45,34.5,0,0,255,300,,69.5,45,0,67.2,0,
2018-11-12,00:50:00,heat,heatOff,,Sleep,72,68,68,46,34.5,0,0,0,0,,68.7,46,0,68,0,
2018-11-12,00:55:00,heat,heatOff,,Sleep,72,68,69.3,45,34.5,0,0,0,0,,68.6,45,0,69.3,0,
2018-11-12,01:00:00,heat,heatOff,,Sleep,72,68,68.8,46,34,0,0,0,0,,68.7,46,0,68.8,0,
2018-11-12,01:05:00,heat,heatOff,,Sleep,72,68,68.2,45,34,0,0,0,0,,68.9,45,0,68.2,0,
2018-11-12,01:10:00,heat,heatOff,,Sleep,72,68,67.9,45,34,0,0,0,0,,69.1,45,0,67.9,0,
2018-11-12,01:15:00,heat,heatOff,,Sleep,72,68,67.8,45,34,0,0,0,0,,69.1,45,0,67.7,1,
2018-11-12,01:20:00,heat,heatOff,,Sleep,72,68,67.6,45,34,0,0,0,0,,69.2,45,0,67.6,1,
2018-11-12,01:25:00,heat,heatOff,,Sleep,72,68,67.5,44,34,0,0,30,30,,69.2,44,0,67.5,1,
2018-11-12,01:30:00,heat,heatStage1On,,Sleep,72,68,67.4,44,33.4,0,0,285,300,,69,44,0,67.4,1,
2018-11-12,01:35:00,heat,heatOff,,Sleep,72,68,68.2,45,33.4,0,0,0,30,,68.2,45,0,68.2,0,
2018-11-12,01:40:00,heat,heatOff,,Sleep,72,68,69.2,46,33.4,0,0,0,0,,68.1,46,0,69.2,0,
2018-11-12,01:45:00,heat,heatOff,,Sleep,72,68,68.8,46,33.4,0,0,0,0,,68.3,46,0,68.8,0,
2018-11-12,01:50:00,heat,heatOff,,Sleep,72,68,68.3,45,33.4,0,0,0,0,,68.6,45,0,68.3,1,
2018-11-12,01:55:00,heat,heatOff,,Sleep,72,68,68,45,33.4,0,0,0,0,,68.8,45,0,68,1,
2018-11-12,02:00:00,heat,heatOff,,Sleep,72,68,67.8,44,32,0,0,0,0,,68.8,44,0,67.8,0,
2018-11-12,02:05:00,heat,heatOff,,Sleep,72,68,67.6,44,32,0,0,0,0,,68.9,44,0,67.6,0,
2018-11-12,02:10:00,heat,heatOff,,Sleep,72,68,67.5,44,32,0,0,120,120,,68.9,44,0,67.5,0,
2018-11-12,02:15:00,heat,heatStage1On,,Sleep,72,68,67.5,44,32,0,0,195,240,,68.5,44,0,67.5,0,
2018-11-12,02:20:00,heat,heatOff,,Sleep,72,68,68.5,45,32,0,0,0,0,,67.8,45,0,68.5,0,
2018-11-12,02:25:00,heat,heatOff,,Sleep,72,68,69.2,45,32,0,0,0,0,,67.8,45,0,69.2,1,
2018-11-12,02:30:00,heat,heatOff,,Sleep,72,68,68.7,45,31.6,0,0,0,0,,68.1,45,0,68.7,1,
2018-11-12,02:35:00,heat,heatOff,,Sleep,72,68,68.3,44,31.6,0,0,0,0,,68.3,44,0,68.3,1,
2018-11-12,02:40:00,heat,heatOff,,Sleep,72,68,68,44,31.6,0,0,0,0,,68.4,44,0,68,0,
2018-11-12,02:45:00,heat,heatOff,,Sleep,72,68,67.9,44,31.6,0,0,0,0,,68.5,44,0,67.9,1,
2018-11-12,02:50:00,heat,heatOff,,Sleep,72,68,67.6,44,31.6,0,0,0,0,,68.6,44,0,67.6,1,
2018-11-12,02:55:00,heat,heatOff,,Sleep,72,68,67.4,44,31.6,0,0,165,165,,68.7,44,0,67.4,0,
2018-11-12,03:00:00,heat,heatStage1On,,Sleep,72,68,67.7,44,31.6,0,0,135,180,,68.2,44,0,67.7,0,
2018-11-12,03:05:00,heat,heatOff,,Sleep,72,68,68.7,44,31.6,0,0,0,0,,67.7,44,0,68.7,0,
